time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2019/09/05/07:27:24.515557,6911,1567636044,514973382,gx5_link,-0.134578719735,0.106813639402,0.778321504593,0.60389983654,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000463359290734,-0.00288335443474,0.00145079649519,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.144459902924,-3.30710623562,-9.22639525294,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.521588,6912,1567636044,521128213,gx5_link,-0.1345833987,0.106816448271,0.778319597244,0.603900790215,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.00186431920156,-0.00369802303612,0.00178295082878,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.141824992234,-3.30660366744,-9.22602570891,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.539557,6913,1567636044,539071150,gx5_link,-0.134582966566,0.106819592416,0.778313696384,0.603907942772,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.00113161769696,-0.00282896310091,0.00199701264501,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.143321249038,-3.30715535223,-9.22625784338,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.557441,6914,1567636044,557020349,gx5_link,-0.13458634913,0.106824055314,0.77831351757,0.603906691074,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000933730392717,-0.00340785109438,0.00202795886435,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142013601484,-3.3032812795,-9.22876629889,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.569861,6915,1567636044,569107823,gx5_link,-0.134584590793,0.10682682693,0.77831107378,0.603909671307,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000355208700057,-0.00258734286763,0.00141334463842,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142721827207,-3.30865048528,-9.22400491118,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.587599,6916,1567636044,587129089,gx5_link,-0.13458570838,0.106830611825,0.778311252594,0.603908538818,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.00168668944389,-0.00284776953049,0.000913948984817,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.143898570221,-3.30592772931,-9.22598302424,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.599789,6917,1567636044,599026546,gx5_link,-0.134579971433,0.106826357543,0.778313934803,0.603907048702,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000281695887679,-0.00386161310598,0.000440861855168,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142121171979,-3.30524243563,-9.22424640119,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.617912,6918,1567636044,617481289,gx5_link,-0.134576633573,0.106830649078,0.778309881687,0.603912353516,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000274867023109,-0.00292283296585,0.00161852524616,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.141285129776,-3.30765382737,-9.22543923318,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.629560,6919,1567636044,629021599,gx5_link,-0.134573593736,0.106831952929,0.778304040432,0.603920280933,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000382216268918,-0.00342355202883,0.00181850465015,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.143944918541,-3.30856073052,-9.22590759516,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.647532,6920,1567636044,647064687,gx5_link,-0.134577468038,0.106832839549,0.778307199478,0.603915214539,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000922065228224,-0.00343222427182,-0.000400926626753,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.143847498447,-3.30609788328,-9.22585204661,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
