time,.x,.y,.z
2019/09/05/07:27:25.557790,0.345345045794,0.00396542557402,0.0
2019/09/05/07:27:25.571140,0.345344718687,0.00397859174628,0.0
2019/09/05/07:27:25.585265,0.345346096424,0.0039684127042,0.0
2019/09/05/07:27:25.599131,0.34534887349,0.00396961228326,0.0
2019/09/05/07:27:25.611791,0.345341873819,0.00397454946291,0.0
2019/09/05/07:27:25.626909,0.345337205415,0.00396868508472,0.0
2019/09/05/07:27:25.640847,0.345353365869,0.0039567547998,0.0
2019/09/05/07:27:25.654891,0.345342465383,0.00394921325581,0.0
2019/09/05/07:27:25.671049,0.345346086585,0.00395287068067,0.0
2019/09/05/07:27:25.684093,0.345356640121,0.00395004724346,0.0
2019/09/05/07:27:25.697806,0.345354126909,0.00395053572938,0.0
2019/09/05/07:27:25.711926,0.345354126909,0.00395053572938,0.0
2019/09/05/07:27:25.724890,0.345358212795,0.00394415976716,0.0
2019/09/05/07:27:25.737902,0.345368246514,0.00394626655179,0.0
2019/09/05/07:27:25.751033,0.345370018143,0.00394450406711,0.0
2019/09/05/07:27:25.763892,0.345368867572,0.00394247883871,0.0
2019/09/05/07:27:25.778744,0.345363750127,0.00393533386575,0.0
2019/09/05/07:27:25.791313,0.345362897418,0.00394709923198,0.0
2019/09/05/07:27:25.805624,0.34535929812,0.00394260679512,0.0
2019/09/05/07:27:25.819411,0.345351902168,0.00395183415117,0.0
2019/09/05/07:27:25.831980,0.345351382596,0.00395469157738,0.0
2019/09/05/07:27:25.845061,0.345351382596,0.00395469157738,0.0
2019/09/05/07:27:25.858818,0.345359049944,0.0039589332806,0.0
2019/09/05/07:27:25.873788,0.34536211966,0.0039690808607,0.0
2019/09/05/07:27:25.887055,0.345373941062,0.00396840312945,0.0
2019/09/05/07:27:25.901152,0.345368838156,0.00395859205972,0.0
2019/09/05/07:27:25.914989,0.345371085397,0.00395003951848,0.0
2019/09/05/07:27:25.927693,0.345367735036,0.00395834379962,0.0
2019/09/05/07:27:25.942070,0.34536498925,0.00395252398522,0.0
2019/09/05/07:27:25.955047,0.34536498925,0.00395252398522,0.0
2019/09/05/07:27:25.967735,0.345368011315,0.00393877824531,0.0
2019/09/05/07:27:25.982001,0.345368011315,0.00393877824531,0.0
2019/09/05/07:27:25.996102,0.345374249445,0.00394505716728,0.0
2019/09/05/07:27:26.008778,0.345380623546,0.00395308214544,0.0
2019/09/05/07:27:26.023008,0.345372964256,0.00394004800498,0.0
2019/09/05/07:27:26.035980,0.345379646601,0.00393998371447,0.0
2019/09/05/07:27:26.048795,0.345373636378,0.00393412926715,0.0
2019/09/05/07:27:26.063172,0.345373636378,0.00393412926715,0.0
2019/09/05/07:27:26.075911,0.345375832959,0.0039364836735,0.0
2019/09/05/07:27:26.090049,0.345380210456,0.00394152535689,0.0
2019/09/05/07:27:26.102861,0.345380210456,0.00394152535689,0.0
2019/09/05/07:27:26.117109,0.345379978544,0.00394009173636,0.0
2019/09/05/07:27:26.131071,0.34537333966,0.00393992986918,0.0
2019/09/05/07:27:26.144219,0.345359958828,0.00393069565383,0.0
2019/09/05/07:27:26.156846,0.3453572527,0.00393528443937,0.0
2019/09/05/07:27:26.170140,0.345352925184,0.0039314008337,0.0
2019/09/05/07:27:26.183936,0.345357430219,0.00393813123972,0.0
2019/09/05/07:27:26.197042,0.345370054299,0.00393767267147,0.0
2019/09/05/07:27:26.210135,0.345366288329,0.00393353311965,0.0
2019/09/05/07:27:26.223138,0.345375408914,0.0039387933129,0.0
2019/09/05/07:27:26.236006,0.345375408914,0.0039387933129,0.0
2019/09/05/07:27:26.248820,0.345374673974,0.00393463977725,0.0
2019/09/05/07:27:26.262121,0.3453795225,0.00393953036064,0.0
